Release 8.1i - Fit P.68d
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 5-29-2019 11:05AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  estados.ngd
output file: estados_pad.csv
Part type:   xc2c256
Speed grade: -6
Package:     tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,,VCC,VCC,,,,,,,,,,
P2,ent<4>,I,I/O/GTS2,INPUT,LVCMOS33,2,,FAST,,,,
P3,KPR,,I/O/GTS3,,,2,,,,,,,
P4,ent<5>,I,I/O,INPUT,LVCMOS33,2,,FAST,,,,
P5,KPR,,I/O/GTS0,,,2,,,,,,,
P6,ent<6>,I,I/O/GTS1,INPUT,LVCMOS33,2,,FAST,,,,
P7,led,O,I/O,OUTPUT,LVCMOS33,2,,FAST,,,,
P8,,VCCAUX,VAUX,,,,,,,,,,
P9,ent<7>,I,I/O,INPUT,LVCMOS33,2,,FAST,,,,
P10,KPR,,I/O,,,2,,,,,,,
P11,KPR,,I/O,,,2,,,,,,,
P12,KPR,,I/O,,,2,,,,,,,
P13,KPR,,I/O,,,2,,,,,,,
P14,KPR,,I/O,,,2,,,,,,,
P15,KPR,,I/O,,,2,,,,,,,
P16,KPR,,I/O,,,2,,,,,,,
P17,KPR,,I/O,,,2,,,,,,,
P18,KPR,,I/O,,,2,,,,,,,
P19,KPR,,I/O,,,1,,,,,,,
P20,KPR,,I/O,,,1,,,,,,,
P21,KPR,,I/O,,,1,,,,,,,
P22,KPR,,I/O,,,1,,,,,,,
P23,KPR,,I/O,,,1,,,,,,,
P24,KPR,,I/O,,,1,,,,,,,
P25,KPR,,I/O,,,1,,,,,,,
P26,KPR,,I/O,,,1,,,,,,,
P27,,VCCIO-3.3,VCCIO,,,1,,,,,,,
P28,KPR,,I/O,,,1,,,,,,,
P29,GND,,GND,,,,,,,,,,
P30,KPR,,I/O/GCK0,,,1,,,,,,,
P31,KPR,,I/O,,,1,,,,,,,
P32,KPR,,I/O/GCK1,,,1,,,,,,,
P33,KPR,,I/O,,,1,,,,,,,
P34,KPR,,I/O,,,1,,,,,,,
P35,KPR,,I/O/CDR,,,1,,,,,,,
P36,GND,,GND,,,,,,,,,,
P37,,VCC,VCC,,,,,,,,,,
P38,clk00,GCK,I/O/GCK2,,LVCMOS33,1,,FAST,,,,
P39,KPR,,I/O/DGE0,,,1,,,,,,,
P40,KPR,,I/O,,,1,,,,,,,
P41,KPR,,I/O,,,1,,,,,,,
P42,KPR,,I/O,,,1,,,,,,,
P43,KPR,,I/O,,,1,,,,,,,
P44,KPR,,I/O,,,1,,,,,,,
P45,KPR,,I/O,,,1,,,,,,,
P46,KPR,,I/O,,,1,,,,,,,
P47,GND,,GND,,,,,,,,,,
P48,KPR,,I/O,,,1,,,,,,,
P49,KPR,,I/O,,,1,,,,,,,
P50,KPR,,I/O,,,1,,,,,,,
P51,KPR,,I/O,,,1,,,,,,,
P52,KPR,,I/O,,,1,,,,,,,
P53,KPR,,I/O,,,1,,,,,,,
P54,KPR,,I/O,,,1,,,,,,,
P55,,VCCIO-3.3,VCCIO,,,1,,,,,,,
P56,KPR,,I/O,,,1,,,,,,,
P57,KPR,,I/O,,,1,,,,,,,
P58,KPR,,I/O,,,1,,,,,,,
P59,KPR,,I/O,,,1,,,,,,,
P60,KPR,,I/O,,,1,,,,,,,
P61,KPR,,I/O,,,1,,,,,,,
P62,GND,,GND,,,,,,,,,,
P63,TDI,,TDI,,,,,,,,,,
P64,KPR,,I/O,,,1,,,,,,,
P65,TMS,,TMS,,,,,,,,,,
